location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,Life Expectancy (years) - Men,Life Expectancy (years) - Women,Happiness Score,Fertility Rate (births per woman)
Equatorial Guinea,13710.0,175.0,8185.485,104.483,1.3,,,,,,,,,267432.0,163.62,0.1531,1650.3,452666.0,249276.0,203390.0,,27.03,14.88,12.14,,,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,1674916.0,,,,,64.4,68.8,4.935,3.9
Eritrea,7982.0,75.0,2166.643,20.358,1.35,,,,,,,,,,,,,,,,,,,,,,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,3684041.0,,,,,66.4,71.1,4.906,4.6
Estonia,241810.0,1932.0,182351.681,1456.943,1.43,69.0,52.034,733.0,552.764,57.0,42.799,568.0,427.993,2536827.0,1909.253,0.2208,121.4,1808861.0,842134.0,827644.0,331408.0,136.41,63.51,62.41,24.99,64.7,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,1326064.0,2956.1997,9.47,45.81,2224.8745,74.6,81.6,6.899,1.6
Ethiopia,415443.0,6926.0,3367.185,56.136,2.91,,,,,,,,,4112267.0,34.188,0.4357,64.2,10916152.0,9344163.0,,,8.85,7.57,,,51.85,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,123379928.0,,,,,64.1,67.6,4.575,4.9
Fiji,53891.0,698.0,57961.709,750.724,1.95,,,,,,,,,468972.0,507.211,,,1267045.0,661452.0,605593.0,,136.28,71.14,65.13,,92.18,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,929769.0,,,,,71.1,76.5,5.532,2.3
Finland,263856.0,1705.0,47621.033,307.72,1.57,64.0,11.551,376.0,67.861,,,,,8740885.0,1578.919,0.253,200.0,9616819.0,4275263.0,4085397.0,1132671.0,173.57,77.16,73.73,20.44,52.31,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,2844.9001,2.59,19.67,513.8926,80.6,84.6,7.769,1.8
France,9482582.0,120962.0,146728.723,1871.705,1.71,6001.0,88.493,31262.0,461.003,3467.0,51.126,15034.0,221.698,196119209.0,2908.831,0.153,142.9,124246390.0,53230310.0,49647205.0,22448954.0,183.22,78.5,73.21,33.1,75.0,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,67813000.0,78311.2,7.7,15.92,1213.5355,82.0,86.2,6.657,1.9
Gabon,41798.0,288.0,17496.045,120.553,1.46,,,,,,,,,1394773.0,595.757,0.6613,817.2,392898.0,219775.0,173123.0,,16.45,9.2,7.25,,68.52,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,2388997.0,,,,,64.6,70.1,4.991,4.2
Gambia,10170.0,343.0,3758.322,126.756,1.22,,,,,,,,,132861.0,50.328,0.3854,1566.4,294698.0,263056.0,249515.0,,10.89,9.72,9.22,,45.37,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,2705995.0,,,,,64.2,68.3,4.421,4.4
Georgia,934741.0,13800.0,249638.058,3685.518,1.32,,,,,,,,,11144737.0,2965.619,0.1328,79.7,2512858.0,1363896.0,1148962.0,,67.11,36.43,30.68,,84.26,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,3744385.0,20504.201,22.8,75.51,5456.1704,74.0,79.1,5.225,1.7
